gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000095139,27,0,21,16,18,113.647
ENSG00000125378,45,0,39,45,27,113.615
ENSG00000129474,62,0,59,61,47,113.588
ENSG00000100353,31,0,22,22,5,113.527
ENSG00000182087,55,0,56,35,9,113.329
ENSG00000112118,34,0,23,30,13,113.298
ENSG00000115718,62,0,44,83,4,112.605
ENSG00000105583,42,0,43,32,22,112.52
ENSG00000137267,35,0,39,15,14,112.024
ENSG00000130821,61,0,79,36,5,111.67
ENSG00000105701,28,0,27,8,7,111.446
ENSG00000127540,33,0,28,24,5,111.398
ENSG00000108465,36,0,28,15,10,111.281
ENSG00000126457,46,0,48,33,0,111.04
ENSG00000174231,21,0,21,19,5,110.999
ENSG00000106066,62,0,30,61,7,110.615
ENSG00000087460,0,0,0,0,82,110.568
ENSG00000125356,34,0,35,26,15,110.543
ENSG00000169223,51,5,32,32,14,110.166
ENSG00000141543,48,0,37,22,22,110.049
ENSG00000213614,35,0,20,18,8,109.776
ENSG00000130811,18,0,19,12,8,109.653
ENSG00000124214,54,0,48,52,25,109.294
ENSG00000188643,61,0,54,47,3,109.214
ENSG00000131791,74,0,42,65,27,109.21
ENSG00000060762,46,0,35,62,14,108.876
ENSG00000125148,55,0,54,49,17,108.631
ENSG00000138073,33,0,32,22,28,107.835
ENSG00000138069,37,0,39,29,17,107.789
ENSG00000174886,48,0,44,47,16,107.521
ENSG00000169230,33,0,31,18,6,107.355
ENSG00000080618,47,0,19,79,10,106.987
ENSG00000064601,37,0,35,25,4,106.948
ENSG00000117592,67,0,44,51,12,106.701
ENSG00000172893,47,0,47,27,8,106.653
ENSG00000133872,24,0,18,14,6,106.376
ENSG00000165119,46,0,32,43,19,106.219
ENSG00000131236,40,0,33,29,7,106.093
ENSG00000168036,16,0,14,15,5,105.53
ENSG00000006042,22,0,24,17,11,105.361
ENSG00000132002,27,0,20,17,7,105.156
ENSG00000178982,24,0,25,18,9,104.822
ENSG00000108773,16,0,17,9,0,104.778
ENSG00000128524,22,0,20,8,18,104.491
ENSG00000142089,39,0,23,33,0,104.283
ENSG00000132613,70,0,70,65,10,103.999
ENSG00000100243,58,0,64,52,12,103.989
ENSG00000123843,27,0,16,30,10,103.759
ENSG00000125970,59,0,48,40,16,103.639
ENSG00000118640,38,0,32,43,11,103.285
ENSG00000104872,51,0,44,41,13,103.041
ENSG00000115484,35,0,35,16,15,102.764
ENSG00000198856,33,0,18,21,12,102.763
ENSG00000158435,44,0,38,47,16,102.479
ENSG00000149932,15,0,15,12,6,102.403
ENSG00000079459,21,0,13,17,0,102.391
ENSG00000148834,18,11,16,14,5,102.29
ENSG00000127184,20,9,15,14,10,102.038
ENSG00000115216,37,0,43,31,8,101.928
ENSG00000198814,87,0,32,92,9,101.712
ENSG00000132507,42,0,36,24,5,101.432
ENSG00000123562,36,0,20,40,7,101.129
ENSG00000167815,36,0,38,28,16,100.956
ENSG00000091947,0,0,0,0,0,100.872
ENSG00000134308,35,0,34,21,55,100.765
ENSG00000125826,62,0,40,80,22,100.292
ENSG00000096696,56,0,56,62,17,99.984
ENSG00000115758,46,0,42,34,6,99.498
ENSG00000125304,61,0,50,57,25,99.346
ENSG00000166579,11,0,12,0,4,99.245
ENSG00000182022,68,10,68,41,51,98.635
ENSG00000257767,0,0,0,0,0,98.41
ENSG00000155876,37,0,32,32,19,98.233
ENSG00000167863,35,0,29,23,15,98.224
ENSG00000141458,46,0,44,42,14,98.137
ENSG00000105373,35,0,39,11,0,97.939
ENSG00000159399,48,0,51,41,26,97.798
ENSG00000087191,30,0,27,20,17,97.797
ENSG00000138867,85,0,50,66,28,97.773
ENSG00000067560,45,0,26,36,13,97.256
ENSG00000143418,72,0,66,66,18,97.18
ENSG00000143727,74,0,39,71,12,97.035
ENSG00000108829,35,10,29,20,20,96.957
ENSG00000088992,36,0,51,19,12,96.819
ENSG00000003989,42,0,42,34,30,96.7
ENSG00000101577,73,0,56,59,5,96.664
ENSG00000174903,28,0,28,22,15,96.65
ENSG00000124098,27,0,28,19,19,96.469
ENSG00000103811,12,0,17,5,3,96.441
ENSG00000182149,32,0,21,18,12,96.353
ENSG00000106105,43,0,31,32,27,96.276
ENSG00000082781,30,0,22,18,3,96.085
ENSG00000225663,39,0,36,17,6,95.906
ENSG00000134363,69,0,55,85,27,95.887
ENSG00000154518,28,0,16,22,18,95.808
ENSG00000113083,30,0,24,31,19,95.772
ENSG00000111897,31,0,26,15,15,95.522
ENSG00000171227,98,0,91,86,32,95.369
