,gene_id,value_1,y,scores
276,XLOC_000315,183.352,1,-1.9109377
277,XLOC_000317,13.5696,1,-4.320272
278,XLOC_000318,0.105154,0,-6.7054825
279,XLOC_000319,7.86729,1,-6.970554
280,XLOC_000320,0.152073,0,-6.970554
281,XLOC_000321,88.2999,1,-1.5834138
282,XLOC_000322,6.53673,1,-4.0512013
283,XLOC_000323,0.0,0,-6.970554
284,XLOC_000324,46.1544,1,-4.5960426
285,XLOC_000325,11.3093,1,-6.7054825
286,XLOC_000326,4.01035,1,-4.1762037
287,XLOC_000327,2.19793,1,-5.1163716
288,XLOC_000328,6.19628,1,-5.1163716
289,XLOC_000329,5.64451,1,-4.0375023
290,XLOC_000330,21.3134,1,-3.2478762
291,XLOC_000331,0.0,0,-3.2478762
