gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value_1,value_2
XLOC_000458,0,0,0,0,0,0.0481977,0.0
XLOC_000459,10,4,10,0,32,0.102471,0.0990519
XLOC_000460,18,9,19,16,0,8.71239,8.3765
XLOC_000461,40,7,41,32,0,48.6022,47.1122
XLOC_000462,0,0,0,0,0,1.65636,1.82329
XLOC_000463,17,4,24,19,0,27.6502,27.8546
XLOC_000464,0,0,0,0,13,0.0137091,0.0619663
XLOC_000465,0,0,0,0,8,0.0,0.0125083
XLOC_000466,0,0,0,0,8,0.0,0.0
XLOC_000467,0,0,0,0,0,0.0,0.0
XLOC_000468,22,0,27,21,0,13.0079,13.5772
XLOC_000469,0,0,0,0,0,0.0,0.0593904
XLOC_000470,0,0,0,0,6,5475.9,0.0323851
XLOC_000471,35,14,37,33,0,44.1261,44.2261
XLOC_000472,0,0,0,0,0,0.0,0.0
XLOC_000474,4,0,9,0,21,0.00557245,0.0
XLOC_000475,4,0,9,0,21,0.0,0.0
XLOC_000476,4,0,9,0,21,67.483,71.272
XLOC_000477,17,5,26,19,0,4.35703,4.3779
XLOC_000478,27,0,30,26,0,13.2085,13.126
XLOC_000480,9,0,8,0,20,0.0,0.0
XLOC_000482,19,0,22,13,0,6.21198,6.3089
XLOC_000484,13,0,16,12,0,5.27784,5.01203
XLOC_000485,31,0,35,35,0,26.4901,25.1474
XLOC_000486,0,10,0,0,53,0.0,0.0
XLOC_000487,26,5,31,29,0,46.4472,46.5775
XLOC_000488,26,5,31,29,0,103.211,105.461
XLOC_000489,3,0,6,0,13,0.0170887,0.0478008
XLOC_000490,0,0,0,0,8,0.0,0.0233008
XLOC_000492,14,0,12,0,21,0.0,0.0291989
XLOC_000493,10,4,13,9,2,5.72192,6.13473
XLOC_000494,15,8,21,14,0,0.920658,1.31319
XLOC_000495,15,8,21,14,0,9.58579,8.24053
XLOC_000496,38,0,43,32,0,24.0281,25.8317
XLOC_000497,0,0,0,0,0,0.0846917,0.0
XLOC_000498,0,0,0,0,0,0.0,0.0
XLOC_000499,0,0,0,0,0,0.0830178,0.174166
XLOC_000500,0,0,0,0,0,6.56271,5.86802
XLOC_000501,20,8,22,16,0,4.1697,4.00948
XLOC_000502,12,0,13,9,0,0.0456051,0.200394
XLOC_000503,0,0,0,0,0,0.0,0.0
XLOC_000504,13,0,17,10,0,18.2912,19.0223
XLOC_000505,13,0,17,10,0,0.175381,0.221434
XLOC_000506,13,0,17,10,0,0.647069,0.694642
XLOC_000507,0,0,6,0,21,0.115911,0.096941
XLOC_000508,33,18,47,26,18,4.4787,4.50469
XLOC_000509,0,0,0,0,0,0.0468583,0.0130732
XLOC_000510,0,0,0,0,0,0.0,0.0
XLOC_000511,0,0,0,0,0,0.0,0.0
XLOC_000513,29,6,38,27,0,17.3319,17.2939
XLOC_000514,49,3,55,37,0,60.2093,58.9747
XLOC_000515,49,3,55,37,0,0.0,0.0
XLOC_000516,44,9,46,41,0,7.17645,7.40782
XLOC_000517,26,7,30,23,0,22.2375,22.8001
XLOC_000518,0,0,0,0,0,0.0,0.0
XLOC_000519,0,0,0,0,0,0.0423925,0.0289266
XLOC_000521,22,5,20,16,0,6.43881,6.15818
XLOC_000522,15,7,18,9,19,0.10973,0.138822
XLOC_000523,16,7,18,8,18,26.8509,28.4596
XLOC_000524,20,7,24,14,0,25.0313,23.884
XLOC_000525,7,0,12,10,0,5.90059,6.19924
XLOC_000527,0,0,0,0,7,0.0,0.0
XLOC_000528,9,3,9,0,2,0.0400535,0.0445854
XLOC_000529,12,4,16,9,0,0.606088,0.757476
XLOC_000530,0,0,0,0,0,0.0,0.0
XLOC_000531,0,0,0,0,0,9.50549,10.8596
XLOC_000532,38,4,29,18,0,929.506,953.486
XLOC_000533,38,4,29,18,0,0.0,0.0
XLOC_000534,38,4,29,18,0,0.0,0.0
XLOC_000535,21,0,26,17,0,16.0812,16.6376
XLOC_000536,33,2,41,32,0,4.01408,3.99883
XLOC_000537,33,2,41,32,0,26.3733,25.9457
XLOC_000538,27,6,30,18,0,18.9931,18.8354
XLOC_000539,27,8,30,29,0,12.0453,11.0653
XLOC_000540,27,8,30,29,0,0.0,0.0
XLOC_000541,27,8,30,29,0,0.0,0.0
