gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000008441,35,0,34,41,0,7.694
ENSG00000008513,66,0,64,79,0,31.111
ENSG00000008516,0,14,31,58,84,0.621
ENSG00000008517,46,0,44,88,0,149.422
ENSG00000008710,17,0,10,21,0,1.258
ENSG00000008735,0,0,0,0,52,0.219
ENSG00000008838,68,0,43,61,0,7.969
ENSG00000008853,9,0,0,0,0,1.778
ENSG00000008869,38,0,33,23,0,3.26
ENSG00000008952,42,0,55,43,0,95.428
ENSG00000009307,40,14,56,47,0,114.27
ENSG00000009335,31,0,35,29,0,9.415
ENSG00000009413,67,0,44,41,0,2.559
ENSG00000009694,0,0,0,0,0,2.293
ENSG00000009709,0,0,0,0,100,0.0
ENSG00000009724,38,0,31,64,0,147.468
ENSG00000009765,26,0,50,56,0,7.561
ENSG00000009780,51,0,28,26,0,2.785
ENSG00000009790,92,0,26,54,0,1.042
ENSG00000009830,93,0,65,100,0,1.022
ENSG00000009844,61,0,40,21,0,17.67
ENSG00000009950,53,0,55,59,0,91.48
ENSG00000009954,77,0,46,46,0,16.216
ENSG00000010017,76,0,61,64,0,19.634
ENSG00000010030,47,0,33,24,0,0.648
ENSG00000010072,79,0,77,39,0,2.106
ENSG00000010165,32,0,38,17,0,9.214
ENSG00000010219,15,0,11,24,49,3.212
ENSG00000010244,69,0,58,58,0,8.822
ENSG00000010256,15,1,25,11,0,138.201
ENSG00000010270,41,28,41,32,0,6.874
ENSG00000010278,78,0,39,91,0,46.465
ENSG00000010282,0,0,0,0,0,0.216
ENSG00000010292,42,0,39,32,0,2.358
ENSG00000010295,60,0,58,70,0,4.802
ENSG00000010310,0,0,18,0,55,0.12
ENSG00000010318,65,0,41,44,0,2.251
ENSG00000010319,0,0,0,0,0,0.686
ENSG00000010322,55,0,33,41,0,7.715
ENSG00000010327,34,0,57,90,0,30.176
ENSG00000010361,67,0,49,48,0,6.381
ENSG00000010379,0,0,0,0,11,12.333
ENSG00000010404,0,0,0,0,0,12.479
ENSG00000010438,32,0,32,25,0,2.727
ENSG00000010539,17,88,75,22,4,2.43
ENSG00000010610,44,0,33,55,0,96.355
ENSG00000010626,64,0,45,64,0,2.155
ENSG00000010671,8,16,25,21,0,3.23
ENSG00000010704,44,0,36,28,0,4.758
ENSG00000010803,39,0,41,54,0,2.898
ENSG00000010810,45,14,42,37,61,10.495
ENSG00000010818,86,0,57,86,0,2.823
ENSG00000010932,28,0,26,0,0,0.03
ENSG00000011007,64,0,56,42,0,17.8
ENSG00000011009,45,0,32,71,0,36.675
ENSG00000011021,90,0,64,96,0,3.454
ENSG00000011028,0,0,25,42,39,2.894
ENSG00000011052,30,0,27,29,0,92.545
ENSG00000011083,0,0,20,15,34,0.024
ENSG00000011105,82,0,35,84,0,23.364
ENSG00000011114,66,14,64,60,0,2.286
ENSG00000011132,43,0,40,43,0,4.994
ENSG00000011143,29,0,20,16,0,2.809
ENSG00000011198,53,0,52,54,0,11.994
ENSG00000011201,0,0,16,0,58,0.319
ENSG00000011243,55,5,39,62,0,13.44
ENSG00000011258,98,0,68,80,0,4.907
ENSG00000011260,100,0,65,80,0,12.601
ENSG00000011275,37,0,28,14,0,5.139
ENSG00000011295,63,0,34,61,0,10.672
ENSG00000011304,65,0,65,100,0,51.041
ENSG00000011332,0,0,0,0,67,0.029
ENSG00000011347,0,0,15,7,0,8.235
ENSG00000011376,22,0,28,11,0,5.105
ENSG00000011405,68,0,36,34,0,6.67
ENSG00000011422,58,12,34,53,35,11.947
ENSG00000011426,31,0,22,22,22,0.451
ENSG00000011451,13,0,46,71,0,3.256
ENSG00000011454,30,0,30,35,0,3.5
ENSG00000011465,53,0,32,99,0,99.213
ENSG00000011478,30,0,39,25,0,3.696
ENSG00000011485,46,0,28,46,0,10.015
ENSG00000011523,62,0,27,45,0,1.697
ENSG00000011566,76,0,70,88,0,5.936
ENSG00000011590,17,0,13,8,0,0.099
ENSG00000011600,67,0,35,92,0,288.021
ENSG00000011638,33,0,20,20,0,2.804
ENSG00000011677,0,74,0,0,41,0.0
ENSG00000012048,57,0,50,42,0,0.643
ENSG00000012061,18,0,22,30,12,16.126
ENSG00000012124,15,10,0,40,0,2.461
ENSG00000012174,41,0,24,24,0,7.39
ENSG00000012211,46,0,38,74,0,2.481
ENSG00000012223,21,0,10,13,0,0.291
ENSG00000012232,0,0,0,0,0,1.041
ENSG00000012504,60,0,56,89,0,63.929
ENSG00000012660,70,0,39,65,0,27.485
ENSG00000012779,62,0,43,58,46,3.542
ENSG00000012817,40,0,43,12,0,0.014
ENSG00000012822,42,0,26,21,0,11.346
ENSG00000012963,75,0,42,34,0,10.964
ENSG00000012983,18,0,20,16,68,4.192
ENSG00000013016,52,0,43,52,65,8.955
ENSG00000013275,48,0,44,48,0,74.301
ENSG00000013288,41,19,35,36,0,13.937
ENSG00000013293,0,45,0,0,93,0.02
ENSG00000013297,0,0,30,33,11,0.725
ENSG00000013306,48,0,43,33,0,71.218
ENSG00000013364,82,0,54,86,0,38.769
ENSG00000013374,47,0,26,73,0,14.58
ENSG00000013375,62,0,44,57,0,9.861
ENSG00000013392,68,0,44,57,0,3.149
ENSG00000013441,86,0,79,86,0,20.755
ENSG00000013503,66,0,56,60,0,5.272
ENSG00000013523,12,0,9,36,0,3.538
ENSG00000013561,16,0,29,64,0,15.86
ENSG00000013563,31,0,22,47,0,6.52
ENSG00000013573,30,0,25,13,0,1.902
ENSG00000013583,78,0,69,75,0,49.376
ENSG00000013588,29,0,31,15,74,0.28
ENSG00000013619,57,0,52,41,0,0.992
ENSG00000013725,50,11,33,33,0,0.435
ENSG00000013810,75,0,62,86,0,1.573
ENSG00000014123,84,0,68,31,0,16.791
ENSG00000014138,30,0,47,27,0,1.421
ENSG00000014164,54,0,44,71,0,3.569
ENSG00000014216,49,0,34,51,0,12.631
ENSG00000014257,0,0,0,19,20,0.227
ENSG00000014641,55,0,43,46,0,57.447
ENSG00000014824,34,0,39,24,0,20.179
ENSG00000014914,64,0,43,58,0,0.861
ENSG00000014919,64,0,45,50,0,15.346
ENSG00000015133,91,0,52,73,0,0.719
ENSG00000015153,58,0,50,49,0,6.47
ENSG00000015171,62,0,43,34,0,16.154
ENSG00000015285,35,0,48,61,0,6.842
ENSG00000015413,0,0,0,0,0,0.0
ENSG00000015475,80,0,57,87,0,15.275
ENSG00000015479,59,0,29,56,0,17.723
ENSG00000015520,72,0,58,100,0,14.188
ENSG00000015532,21,0,25,17,0,4.763
ENSG00000015568,0,0,0,0,0,1.205
ENSG00000015592,0,0,0,0,0,0.112
ENSG00000015676,57,0,36,40,0,8.718
ENSG00000016082,0,16,35,0,100,0.0
ENSG00000016391,71,0,69,59,0,35.035
ENSG00000016402,17,30,18,0,100,0.229
